Title,Author,Genre,PublishedYear,ISBN
Roadkill (a.k.a. Roadkill: Move or Die),Silvano,Drama,1999,452-559-1205
Lone Survivor,Ronnie,Action|Drama|Thriller|War,2011,718-151-9403
Paths of Hate,Alex,Action|Animation|Drama|War,2002,927-387-3450
Frank and Ollie,Micky,Documentary,2011,511-570-5519
Eden,Nicolas,Crime|Drama,1996,612-300-0763
"Golden Christmas, A",Emyle,Children|Comedy|Romance,1998,932-394-1766
Barbarians at the Gate,Blinni,Drama,2000,249-546-7262
"Keys of the Kingdom, The",Tiffi,Drama,1994,943-183-9181
Safety Last!,Shanie,Action|Comedy|Romance,2004,994-202-1656
Frankie and Johnny,Keeley,Comedy,2001,462-953-8829
Endeavour,Ardenia,Crime|Drama|Mystery,1999,200-636-3615
"Other Side of Bollywood, The",Penny,Documentary,2002,898-409-0357
Ladrones,Stephanus,Drama,2010,895-412-2634
"Promoter, The (Card, The)",Melisande,Comedy,1992,270-658-7760
Manrape (Män kan inte våldtas) ,Kylie,Drama,2003,496-254-4648
"Pleasure Seekers, The",Hedda,Comedy|Musical|Romance,1993,970-929-6074
Torch Song Trilogy,Chev,Comedy|Drama|Romance,2010,569-380-5102
Dead Again,Joella,Mystery|Romance|Thriller,1984,734-914-0164
Ingrid,Cammy,Drama,1998,543-141-4153
Galaxy of Terror (Quest),Mark,Action|Horror|Mystery|Sci-Fi,1993,850-189-1421
Queen of the Amazons,Bobby,Action|Adventure|Mystery|Romance,2001,120-953-8327
Silent Hill,Samara,Fantasy|Horror|Thriller,1993,131-964-1405
"Package, The",Farrah,Action|Thriller,1995,339-981-5598
Dying Young,Marline,Drama|Romance,2000,793-371-6501
"Triumph of Love, The",Sheree,Comedy,2006,134-528-5858
For Heaven's Sake,Darryl,Action|Comedy|Romance,1998,810-188-6481
"Age of Innocence, The",Benson,Drama,2005,880-424-3096
Dr. Akagi (Kanzo sensei),Karlyn,Comedy|Drama|War,2005,575-135-1161
Andrei Rublev (Andrey Rublyov),Aluino,Drama|War,2010,566-465-2248
"Majestic, The",Falito,Comedy|Drama|Romance,2002,394-449-9890
"Legend of Boggy Creek, The",Alex,Drama|Horror|Mystery|Thriller,2013,305-611-7656
Three (Tri),Loren,Drama|War,2007,474-400-5139
Madagascar: Escape 2 Africa,Carlynne,Action|Adventure|Animation|Children|Comedy|IMAX,1993,146-292-6941
The Dust Bowl,Illa,Documentary,1997,429-114-2179
Stonehenge Apocalypse,Simonette,Sci-Fi,1995,490-408-4467
Apache Country,Nicoline,Action|Western,1997,506-456-2492
Tucker & Dale vs Evil,Gilberto,Comedy|Horror,1989,626-580-7134
Whatever Lola Wants,Edwin,Drama,2005,373-928-2814
Snipes,Michael,Drama|Thriller,2006,652-149-2577
Salaam Bombay!,Tadeas,Drama,2008,951-693-4740
Charlie Chan at the Olympics,Jenine,Comedy|Crime|Mystery|Thriller,1995,981-493-4753
Captain Corelli's Mandolin,Randa,Drama|Romance|War,1970,349-643-1740
Get Rich or Die Tryin',Dana,Action|Crime|Drama,2002,332-435-7193
At Home by Myself... with You,Micky,Comedy|Romance,2008,647-691-7647
Wild Gals Of The Naked West,Shelton,Comedy|Western,1989,548-468-0315
3-Iron (Bin-jip),Paxton,Drama|Romance,1996,712-220-7881
"Queen and I, The (Drottningen och jag)",Jacintha,Documentary,1993,546-561-5225
I Am David,Carver,Drama,2005,959-175-5602
"Flintstones, The",Irma,Children|Comedy|Fantasy,1992,918-582-0753
"Kremlin Letter, The",Elonore,Drama|Thriller,2012,276-864-4024
Outbreak,Maximilian,Action|Drama|Sci-Fi|Thriller,1992,470-449-3116
"Misérables, Les",Reginald,Drama|Romance,1995,951-655-1601
Invictus,Sallee,Drama,1969,156-822-9877
Quatre garçons pleins d'avenir,Christa,Comedy,1996,401-997-6227
Where the Money Is,Kizzee,Comedy|Drama,2009,216-317-4053
"Debt, The",Cori,Thriller,1990,874-677-9201
"Tale of Springtime, A (Conte de Printemps)",Veronique,Drama|Romance,2004,134-666-8098
Evolver,Loella,Action|Horror|Sci-Fi,1993,326-773-0805
Poltergeist II: The Other Side,Paton,Horror|Thriller,2002,510-126-6862
For Your Consideration,Frieda,Comedy,1994,786-835-1631
"Life is a Bed of Roses (Vie est un roman, La)",Annora,Fantasy|Musical,2007,581-117-3303
They Call Us Misfits (Dom kallar oss mods),Kylen,Documentary,1994,797-790-6106
High School Musical 3: Senior Year,Hughie,Musical,2009,394-354-7333
Taxi 3,Seumas,Action|Comedy,1993,499-489-0905
Carriers,Calida,Drama|Horror|Thriller,1981,692-220-2131
Hercules and the Amazon Women,Lurleen,Action|Adventure|Fantasy|Sci-Fi,1993,129-922-8158
Beautiful,Cass,Drama|Thriller,2000,405-362-4927
Vengeance (Fuk sau),Emile,Action|Crime|Thriller,1998,506-280-4855
"Do You Remember Dolly Bell? (Sjecas li se, Dolly Bell)",Ringo,Comedy|Drama|Romance,2011,437-297-3383
"Good Fairy, The",Ryann,Comedy|Romance,1998,479-958-0011
No One Dies in Lily Dale,Janene,Documentary,2012,592-597-2028
"Shepherd of the Hills, The",Lyda,Drama,1995,632-899-2993
"Man Who Knew Too Much, The",Sven,Drama|Thriller,2002,434-629-0937
Soap Girl,Waldon,Drama|Romance,2004,693-522-9814
"League of Gentlemen, The",Jolee,Adventure|Comedy|Crime|Drama,2004,975-419-8457
"Sixth of the World, A (Shestaya chast mira)",Sheppard,Documentary,1992,161-604-1461
"Singing Nun, The",Gilberta,Comedy|Drama,2007,442-542-8888
"Oversimplification of Her Beauty, An",Quint,Animation|Comedy|Drama|Romance,2010,858-227-9615
Applause (Applaus),Flore,Drama,1997,388-796-6457
Maria (Mariya),Carri,(no genres listed),2004,637-572-3144
M. Butterfly,Ricardo,Drama|Romance,2006,255-582-7831
"Navigator, The",Ashil,Comedy,2002,542-822-0812
In the Name of the King: A Dungeon Siege Tale,Margarete,Action|Adventure|Fantasy,2009,395-903-2831
So It Goes (Korsoteoria),Johnny,Drama,1970,761-258-3604
Shiri (Swiri),Rahal,Action|Drama|Romance|Thriller,2008,466-370-4775
Sex and Lucia (Lucía y el sexo),Shanna,Drama|Romance,1999,547-325-3678
Scream of Stone (Cerro Torre: Schrei aus Stein),Hunt,Drama,2002,295-113-4658
Behind the Burly Q: The Story of Burlesque in America,Dayna,Documentary,1996,418-375-2929
Airbag,Sonny,Action|Comedy|Crime|Thriller,1996,802-810-2525
Red Cliff Part II (Chi Bi Xia: Jue Zhan Tian Xia),Gerianne,Action|Drama|War,2003,122-665-8967
Teenage Dirtbag,Jayson,Drama,1992,644-951-0702
Deadline at Dawn,Loretta,Film-Noir|Mystery|Romance|Thriller,1999,692-598-8606
Elevator ,Gwendolin,Thriller,1993,224-147-7347
My Brother Tom,Emmye,Drama,2001,392-458-1558
La Bandera,Sherill,(no genres listed),2004,205-165-8927
Psycho Beach Party,Cecilia,Comedy|Horror|Thriller,2005,328-302-9731
"Trials of Darryl Hunt, The",Jenifer,Crime|Documentary,2009,978-919-1165
"Wake Up, Ron Burgundy",Brantley,Comedy,1994,573-965-5694
Blue Gold: World Water Wars,Florri,Documentary,2004,747-297-0167
Password: Uccidete agente Gordon,Doria,(no genres listed),1993,114-830-7827
"Facts of Life, The",Karita,Comedy|Drama|Romance,2000,536-875-7918
Shadow Boxers,Courtenay,Documentary,2006,156-230-1299
Crime Wave,Isiahi,Adventure|Comedy,1992,358-648-0590
Dating the Enemy,Michaelina,Comedy|Romance,2006,619-632-3429
Not as a Stranger,Benedict,Drama,1983,591-833-1829
"Burglars, The (Le casse)",Venita,Action|Crime|Thriller,2010,160-164-6095
Tarda estate,Cecilia,Drama,1998,684-995-7550
Mercy Streets,Tatum,Action|Crime|Drama,2009,241-623-7683
Stepfather II,Terese,Horror|Thriller,1995,103-701-7331
"Idiot Returns, The (Návrat idiota)",Kimmie,Comedy|Drama|Romance,1994,869-760-0215
"Small Back Room, The",Felita,Romance|Thriller,2008,708-492-1073
"Wedding March, The",Roberto,Drama|Romance,2000,807-751-6325
The Missionaries,Ramsay,Comedy|Romance,1998,387-338-3037
13 Ghosts,Carlynne,Horror,2005,239-560-4377
"Graduate, The",Sheila-kathryn,Comedy|Drama|Romance,1996,768-174-9993
Shrooms,Alessandra,Horror|Thriller,2000,548-829-9809
"Another Day, Another Time: Celebrating the Music of Inside Llewyn Davis",Arne,Documentary,2011,182-378-8635
A Summer in La Goulette,Killian,Comedy|Drama,1997,201-974-1832
Fever Pitch,Stormi,Comedy|Romance,2007,564-470-9767
Beyond the Black Rainbow,Dorri,Mystery|Sci-Fi,1996,711-943-3436
No Holds Barred,Sheena,Action,2009,508-709-5853
The Black Devil,Zorina,Comedy|Fantasy,1984,968-388-4014
Viimeiset rotannahat ,Renato,Comedy,2005,818-730-6111
Ice Age,Konstantin,Adventure|Animation|Children|Comedy,2006,507-893-7837
End of the Spear,Wilmette,Drama,1995,756-379-8633
Limelight,Caterina,Comedy|Drama|Romance,1994,749-687-2332
Hungry for Change,Staford,Documentary,2003,513-193-9830
Notre jour viendra,Farrah,Drama,2012,552-443-4208
Turbulence,Mickie,Action|Thriller,2012,184-364-9324
Answers to Nothing,Stephi,Drama|Mystery,2011,667-423-8149
The Butterfly Effect 3: Revelations,Alvis,Drama|Fantasy|Sci-Fi|Thriller,1993,943-911-9545
Poppy Shakespeare,Hilary,Drama,2011,700-312-4100
Easy,Wilhelmina,Comedy|Drama|Romance,1990,556-937-8039
Pocahontas,Karissa,Animation|Children|Drama|Musical|Romance,1998,491-477-8473
Nightmare Factory,Lorilee,Documentary,2003,817-204-8535
Ascension,Paxon,Drama|Sci-Fi,2008,670-326-7123
"Wedding Date, The",Nadia,Comedy|Romance,2001,983-525-2520
Empire of the Sun,Marley,Action|Adventure|Drama|War,2008,503-787-0607
"World According to Garp, The",Bobbye,Comedy|Drama|Romance,2002,861-508-8910
Skin,Sara-ann,Drama|Mystery,2011,160-382-6227
Liliom,Kristen,Drama|Fantasy,2004,820-441-6029
Beware of Mr. Baker,Dolph,Documentary,1988,734-174-0332
Mickey Blue Eyes,Pebrook,Comedy|Romance,2001,790-589-6713
Men at Work,Marice,Action|Comedy,2005,407-977-5400
"Matrix, The",Pren,Action|Sci-Fi|Thriller,1984,954-755-0679
Slackers,Eward,Comedy,2004,984-796-3021
Harriet Craig,Pennie,Drama,2001,961-646-4769
Chill Out! (Descongélate!),Winni,Comedy|Drama,1991,917-821-1972
American Ninja 2: The Confrontation,Dolf,Action|Adventure,1996,996-610-3653
InAPPropriate Comedy,Udall,Comedy,2003,314-659-3813
Forgotten Silver,Vikky,Comedy|Documentary,1988,721-960-8392
Monty Python: Almost the Truth - Lawyers Cut,Jethro,Comedy|Documentary,2010,742-939-7306
"Day of the Locust, The",Kenneth,Drama,2001,319-860-0261
"Pearls of the Crown, The (Les perles de la couronne)",Raymund,Comedy,2003,151-328-8353
"Zero Theorem, The",Grace,Drama|Fantasy|Sci-Fi,1962,405-944-3199
Eden Is West (Eden à l'Ouest),Dalenna,Drama,2003,738-875-3117
"Square, The",Ashia,Thriller,2006,121-574-0151
When I Walk,Austen,Documentary,2002,726-879-1745
Cry 'Havoc',Quintilla,Drama|War,2000,359-902-0579
"Reckless Moment, The",Isaak,Drama|Film-Noir,2011,644-638-1490
I Accuse,Hillery,Drama|Horror|War,2007,569-583-9030
"Gay Deceivers, The",Bartholemy,Comedy,1994,681-461-6745
Way Down East,Ogden,Drama|Romance,2004,268-996-1553
"Children, The",Sherri,Horror,2009,410-750-3201
Little Dorrit,Hallsy,Drama|Romance,2003,431-648-7587
Samurai Rebellion (Jôi-uchi: Hairyô tsuma shimatsu),Ambros,Action|Drama,1999,636-276-3758
World Without End,Cesar,Sci-Fi,1990,609-526-4259
"Boy and His Dog, A",Dredi,Sci-Fi,2007,702-900-4886
"Ivan the Terrible, Part One (Ivan Groznyy I)",Fara,Drama,1990,785-509-7893
Enid Is Sleeping,Weber,Comedy,1994,104-235-1726
Smiling Fish and Goat on Fire,Davin,Comedy|Romance,2008,335-316-8629
M. Butterfly,Ralina,Drama|Romance,2005,157-853-4812
Relax... It's Just Sex,Roch,Comedy,2011,328-522-4064
All About Eve,Lexi,Drama,2012,878-533-9960
"Angry Silence, The",Latisha,Drama,2001,336-484-0581
Stand Off,Lurleen,Comedy|Drama,2011,820-307-4522
This Land Is Mine,Sarine,Drama|War,2013,250-950-8741
Sharkwater,Rowen,Documentary,1986,750-779-8653
Police Academy,Alfy,Comedy|Crime,2008,451-491-1431
Fara,Marin,Drama,2008,824-510-4422
Diary of a Cannibal,Shana,Crime|Horror,2010,398-293-0030
Branded,Normand,Action|Drama|Mystery|Sci-Fi,2002,737-648-2495
Ninjas vs. Zombies,Nahum,Action|Comedy|Fantasy|Horror,1999,489-477-6530
Filthy Gorgeous: The Bob Guccione Story,Seamus,Documentary,2012,401-717-7511
Panic in the Streets,Auguste,Crime|Drama|Film-Noir|Thriller,1990,407-647-3283
Repo Men,Rodolfo,Action|Sci-Fi|Thriller,1994,155-530-1924
35 Shots of Rum (35 rhums),Andrus,Drama,2004,261-187-6825
Lovers and Lollipops,Maryjo,Drama|Romance,2002,825-738-0933
Frankenstein's Army,Abra,Action|Horror|Sci-Fi,2012,255-496-2583
"Sleep, My Love",Tandy,Drama|Film-Noir|Mystery,2007,967-374-0304
Lord of Tears,Wells,Drama|Horror,2004,286-333-1154
Cats,Virgie,Musical,1998,842-481-0184
"Poughkeepsie Tapes, The",Merridie,Horror|Mystery|Thriller,1998,814-834-4406
Mrs. Miniver,Charisse,Drama|War,1995,698-376-3775
Rosso,Vicky,Crime|Drama,2003,675-112-8714
"Girl, The",Donal,Drama|Mystery|Romance,1999,321-173-9766
"Acla, The Descent into Floristella (La discesa di Aclà a Floristella)",Missie,Drama,2010,419-429-5183
Candyman,Enriqueta,Horror|Thriller,2011,365-803-8590
Texas Across the River,Fremont,Comedy|Western,2008,286-727-4535
Wilder Napalm,Leanor,Comedy|Fantasy|Romance,1969,659-203-0194
Baby Take a Bow,Bart,Children|Comedy|Drama,1993,203-156-8136
Transylvania 6-5000,Rosalinda,Comedy|Horror,1985,122-188-9559
Why Be Good?,Hyatt,Comedy|Romance,1998,160-872-4613
Garfield Gets Real,Lilllie,Animation|Children|Comedy,2008,958-396-8071
